model,test_file,k,hit,ndcg
,,,,
np_baseline,test_inters_rs_all_sample_5.txt,1,0.032969852,0.032969852
np_baseline,test_inters_rs_all_sample_5.txt,2,0.064785119,0.053043051
np_baseline,test_inters_rs_all_sample_5.txt,3,0.097690827,0.069495905
np_baseline,test_inters_rs_all_sample_5.txt,4,0.131045542,0.083860999
np_baseline,test_inters_rs_all_sample_5.txt,5,0.16132136,0.095573284
np_baseline,test_inters_rs_all_sample_5.txt,6,0.193008339,0.106860413
np_baseline,test_inters_rs_all_sample_5.txt,7,0.224631174,0.117401358
np_baseline,test_inters_rs_all_sample_5.txt,8,0.256189865,0.127357017
np_baseline,test_inters_rs_all_sample_5.txt,9,0.290699166,0.137745352
np_baseline,test_inters_rs_all_sample_5.txt,10,0.322257858,0.146867859
np_baseline,test_inters_rs_all_sample_5.txt,11,0.353624118,0.155617256
np_baseline,test_inters_rs_all_sample_5.txt,12,0.387363695,0.164734977
np_baseline,test_inters_rs_all_sample_5.txt,13,0.420397691,0.173411341
np_baseline,test_inters_rs_all_sample_5.txt,14,0.453431687,0.181866658
np_baseline,test_inters_rs_all_sample_5.txt,15,0.487171264,0.190301552
