


















Evaluating........................................................................................................................epoch:  37, time: 0.0h 1.0min 28.268117427825928sec, valid (NDCG@10: 0.5293, HR@10: 0.7808), test (NDCG@10: 0.5045, HR@10: 0.7546)



















Evaluating........................................................................................................................epoch:  38, time: 0.0h 1.0min 30.1518874168396sec, valid (NDCG@10: 0.5324, HR@10: 0.7844), test (NDCG@10: 0.5088, HR@10: 0.7576)



















Evaluating........................................................................................................................epoch:  39, time: 0.0h 1.0min 32.02442979812622sec, valid (NDCG@10: 0.5329, HR@10: 0.7891), test (NDCG@10: 0.5084, HR@10: 0.7546)



















Evaluating........................................................................................................................epoch:  40, time: 0.0h 1.0min 33.88658809661865sec, valid (NDCG@10: 0.5316, HR@10: 0.7916), test (NDCG@10: 0.5047, HR@10: 0.7593)



















Evaluating........................................................................................................................epoch:  41, time: 0.0h 1.0min 35.72812795639038sec, valid (NDCG@10: 0.5371, HR@10: 0.7922), test (NDCG@10: 0.5104, HR@10: 0.7619)



















Evaluating........................................................................................................................epoch:  42, time: 0.0h 1.0min 37.61491942405701sec, valid (NDCG@10: 0.5354, HR@10: 0.7891), test (NDCG@10: 0.5130, HR@10: 0.7654)



















Evaluating........................................................................................................................epoch:  43, time: 0.0h 1.0min 39.557000160217285sec, valid (NDCG@10: 0.5421, HR@10: 0.7907), test (NDCG@10: 0.5126, HR@10: 0.7699)


















Evaluating........................................................................................................................epoch:  44, time: 0.0h 1.0min 41.61091446876526sec, valid (NDCG@10: 0.5434, HR@10: 0.7932), test (NDCG@10: 0.5160, HR@10: 0.7704)



















Evaluating........................................................................................................................epoch:  45, time: 0.0h 1.0min 43.691691637039185sec, valid (NDCG@10: 0.5449, HR@10: 0.7932), test (NDCG@10: 0.5158, HR@10: 0.7627)


















Evaluating........................................................................................................................epoch:  46, time: 0.0h 1.0min 45.836984157562256sec, valid (NDCG@10: 0.5435, HR@10: 0.7916), test (NDCG@10: 0.5183, HR@10: 0.7707)



















Evaluating........................................................................................................................epoch:  47, time: 0.0h 1.0min 47.77049207687378sec, valid (NDCG@10: 0.5441, HR@10: 0.7980), test (NDCG@10: 0.5149, HR@10: 0.7652)



















Evaluating........................................................................................................................epoch:  48, time: 0.0h 1.0min 49.80895972251892sec, valid (NDCG@10: 0.5450, HR@10: 0.7977), test (NDCG@10: 0.5220, HR@10: 0.7707)



















Evaluating........................................................................................................................epoch:  49, time: 0.0h 1.0min 51.79207134246826sec, valid (NDCG@10: 0.5467, HR@10: 0.7988), test (NDCG@10: 0.5197, HR@10: 0.7700)



















Evaluating........................................................................................................................epoch:  50, time: 0.0h 1.0min 53.75718665122986sec, valid (NDCG@10: 0.5508, HR@10: 0.7965), test (NDCG@10: 0.5214, HR@10: 0.7694)



















Evaluating........................................................................................................................epoch:  51, time: 0.0h 1.0min 55.69281482696533sec, valid (NDCG@10: 0.5491, HR@10: 0.7977), test (NDCG@10: 0.5219, HR@10: 0.7709)



















Evaluating........................................................................................................................epoch:  52, time: 0.0h 1.0min 57.64139366149902sec, valid (NDCG@10: 0.5465, HR@10: 0.7975), test (NDCG@10: 0.5236, HR@10: 0.7725)



















Evaluating........................................................................................................................epoch:  53, time: 0.0h 1.0min 59.602680921554565sec, valid (NDCG@10: 0.5503, HR@10: 0.8025), test (NDCG@10: 0.5236, HR@10: 0.7762)



















Evaluating........................................................................................................................epoch:  54, time: 0.0h 2.0min 1.4394218921661377sec, valid (NDCG@10: 0.5540, HR@10: 0.8013), test (NDCG@10: 0.5240, HR@10: 0.7715)



















Evaluating........................................................................................................................epoch:  55, time: 0.0h 2.0min 3.3011982440948486sec, valid (NDCG@10: 0.5550, HR@10: 0.7987), test (NDCG@10: 0.5250, HR@10: 0.7743)



















Evaluating........................................................................................................................epoch:  56, time: 0.0h 2.0min 5.163706541061401sec, valid (NDCG@10: 0.5514, HR@10: 0.7997), test (NDCG@10: 0.5285, HR@10: 0.7742)



















